,ACFL,AMCR,AMGO,AMRE,AMRO,BAOR,BAWW,BGGN,BHCO,BLBW,BLJA,BRTH,BTNW,BWWA,CACH,CARW,CEDW,CERW,CHSP,COYE,EAPH,EATO,EAWP,ETTI,FISP,GCFL,GRCA,HOWA,INBU,KEWA,LOWA,NOCA,NOPA,OVEN,PIWA,PRAW,RBGR,REVI,RWBL,SCTA,SUTA,WBNU,WEVI,WEWA,WOTH,YBCH,YTVI,YTWA
21,4,3,0,2,2,0,1,2,1,0,0,0,0,0,0,2,0,1,0,1,0,6,2,3,0,3,0,1,1,0,0,0,0,3,0,0,0,5,0,1,0,2,0,0,2,0,0,0
22,9,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,0,0,0,0,0,5,0,0,0,14,0,3,0,1,0,3,1,0,1,0
23,1,0,1,2,0,0,3,1,1,1,0,0,0,0,1,0,0,2,0,2,0,2,0,3,0,0,0,3,3,0,0,2,1,9,0,0,0,17,0,0,0,1,2,0,0,0,0,0
24,10,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,3,0,0,1,2,0,10,0,0,2,12,0,1,0,4,0,3,2,0,0,0
25,6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,6,1,0,0,9,0,1,0,2,0,4,5,0,0,0
26,9,0,0,1,0,0,1,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,10,0,3,0,3,0,3,1,0,0,0
27,3,0,1,1,1,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,3,0,1,0,1,4,0,0,0
28,6,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,3,0,1,0,0,0,13,0,0,0,5,0,2,0,2,0,2,3,0,0,0
29,8,0,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,1,0,2,0,0,1,0,0,7,0,0,0,11,0,4,0,1,0,2,9,0,0,0
30,3,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,8,1,0,0,5,0,0,0,0,0,1,4,0,0,3
31,8,1,0,0,1,0,2,3,4,0,2,0,0,0,1,0,3,0,0,0,0,2,4,4,0,0,0,7,0,0,0,0,0,3,0,0,0,7,0,0,0,3,0,2,5,0,0,0
32,6,0,0,0,5,1,1,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,8,0,0,0,8,0,3,0,1,0,1,5,0,2,0
33,4,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1,1,0,0,0,4,0,0,0,2,0,6,0,0,0,10,0,1,0,1,0,1,3,0,3,0
34,6,0,0,1,1,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,1,0,9,0,0,0,16,0,4,0,0,0,1,0,0,0,0
35,6,7,1,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,10,1,0,0,5,0,0,0,3,0,2,0,0,1,0
36,1,0,0,12,0,1,0,2,0,0,0,0,0,1,0,1,5,3,0,7,0,2,1,3,0,0,5,0,3,1,0,0,0,0,0,0,0,11,4,0,0,3,1,0,3,0,3,0
37,2,0,0,0,0,0,2,2,3,0,4,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,0,4,0,0,0,0,0,7,0,0,0,12,0,2,0,2,0,3,0,0,1,0
38,12,0,0,2,1,0,1,1,1,1,1,0,2,0,0,0,0,1,0,0,1,0,4,0,0,0,0,3,0,0,2,0,0,3,0,0,0,7,0,5,0,4,0,1,1,0,3,0
39,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,4,0,0,0,5,0,0,0,1,0,0,5,0,0,0
40,9,0,0,1,1,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,4,0,5,0,1,3,0,2,0
41,0,0,6,1,5,1,2,1,5,0,1,0,0,0,1,1,0,0,0,7,1,11,1,2,0,1,4,5,3,1,0,3,1,0,1,0,0,0,7,0,0,2,4,0,2,0,0,2
42,1,0,0,3,2,1,0,3,1,0,0,3,0,0,3,0,0,3,0,0,0,2,1,2,0,3,0,2,2,0,0,1,0,3,0,0,0,7,0,4,0,0,1,0,5,0,0,1
43,3,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,1,0,0,4,0,0,0,7,0,0,0,1,0,2,5,0,0,0
44,8,0,0,2,0,0,0,4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,2,0,1,8,0,0,0,9,0,0,0,0,0,2,4,0,0,0
45,8,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,1,1,0,4,0,0,0,7,0,3,0,2,0,2,2,0,1,0
46,3,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,8,0,2,0,2,0,5,5,0,0,0
47,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,5,0,0,2,10,0,3,0,2,0,0,2,0,0,0
48,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,0,0,0,2,0,1,2,0,0,0
